Category: All categories

Week,covid symptoms: (United States)
2020-01-26,<1
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,1
2020-03-01,6
2020-03-08,31
2020-03-15,71
2020-03-22,76
2020-03-29,61
2020-04-05,43
2020-04-12,32
2020-04-19,29
2020-04-26,28
2020-05-03,25
2020-05-10,26
2020-05-17,24
2020-05-24,24
2020-05-31,22
2020-06-07,20
2020-06-14,33
2020-06-21,48
2020-06-28,67
2020-07-05,71
2020-07-12,69
2020-07-19,48
2020-07-26,49
2020-08-02,49
2020-08-09,41
2020-08-16,34
2020-08-23,33
2020-08-30,33
2020-09-06,34
2020-09-13,33
2020-09-20,32
2020-09-27,39
2020-10-04,48
2020-10-11,39
2020-10-18,42
2020-10-25,48
2020-11-01,44
2020-11-08,62
2020-11-15,75
2020-11-22,67
2020-11-29,67
2020-12-06,65
2020-12-13,63
2020-12-20,65
2020-12-27,66
2021-01-03,58
2021-01-10,49
2021-01-17,45
2021-01-24,40
2021-01-31,36
2021-02-07,29
2021-02-14,24
2021-02-21,24
2021-02-28,23
2021-03-07,24
2021-03-14,23
2021-03-21,25
2021-03-28,26
2021-04-04,27
2021-04-11,27
2021-04-18,24
2021-04-25,23
2021-05-02,19
2021-05-09,18
2021-05-16,16
2021-05-23,13
2021-05-30,11
2021-06-06,11
2021-06-13,11
2021-06-20,12
2021-06-27,12
2021-07-04,16
2021-07-11,20
2021-07-18,29
2021-07-25,39
2021-08-01,50
2021-08-08,54
2021-08-15,56
2021-08-22,59
2021-08-29,54
2021-09-05,50
2021-09-12,42
2021-09-19,36
2021-09-26,33
2021-10-03,28
2021-10-10,25
2021-10-17,22
2021-10-24,21
2021-10-31,23
2021-11-07,22
2021-11-14,24
2021-11-21,24
2021-11-28,32
2021-12-05,28
2021-12-12,37
2021-12-19,77
2021-12-26,100
2022-01-02,99
2022-01-09,84
2022-01-16,56
2022-01-23,38
2022-01-30,25
2022-02-06,19
2022-02-13,14
2022-02-20,12
2022-02-27,9
2022-03-06,8
2022-03-13,9
2022-03-20,9
2022-03-27,9
2022-04-03,10
2022-04-10,13
2022-04-17,13
2022-04-24,15
2022-05-01,16
2022-05-08,20
2022-05-15,24
2022-05-22,23
2022-05-29,24
2022-06-05,22
2022-06-12,21
2022-06-19,24
2022-06-26,25
2022-07-03,27
2022-07-10,31
2022-07-17,33
2022-07-24,29
2022-07-31,26
2022-08-07,22
2022-08-14,20
2022-08-21,20
2022-08-28,18
2022-09-04,16
2022-09-11,14
2022-09-18,13
2022-09-25,11
2022-10-02,11
2022-10-09,11
