Date,DAILY_AQI_VALUE
2013-01-01,35
2013-01-04,18
2013-01-07,9
2013-01-10,15
2013-01-13,52
2013-01-16,39
2013-01-19,32
2013-01-25,15
2013-01-28,14
2013-01-31,11
2013-02-03,35
2013-02-06,8
2013-02-09,31
2013-02-12,10
2013-02-15,20
2013-02-18,24
2013-02-21,14
2013-02-24,16
2013-02-27,22
2013-03-02,9
2013-03-05,17
2013-03-08,20
2013-03-11,40
2013-03-14,17
2013-03-17,8
2013-03-20,9
2013-03-23,25
2013-03-26,31
2013-03-29,20
2013-04-01,21
2013-04-04,36
2013-04-07,5
2013-04-10,11
2013-04-13,10
2013-04-16,11
2013-04-19,5
2013-04-22,14
2013-04-25,26
2013-04-28,8
2013-05-01,19
2013-05-04,21
2013-05-07,33
2013-05-10,46
2013-05-13,10
2013-05-16,14
2013-05-19,13
2013-05-22,12
2013-05-25,13
2013-05-28,5
2013-05-31,12
2013-06-03,22
2013-06-06,23
2013-06-09,18
2013-06-12,8
2013-06-15,25
2013-06-18,10
2013-06-21,15
2013-06-24,8
2013-06-27,15
2013-06-30,32
2013-07-03,19
2013-07-06,29
2013-07-09,27
2013-07-12,18
2013-07-15,16
2013-07-18,27
2013-07-21,21
2013-07-24,27
2013-07-27,24
2013-07-30,24
2013-08-02,13
2013-08-05,38
2013-08-08,18
2013-08-11,24
2013-08-14,35
2013-08-17,13
2013-08-20,23
2013-08-23,9
2013-08-26,24
2013-08-29,11
2013-09-01,30
2013-09-04,35
2013-09-07,23
2013-09-10,29
2013-09-13,33
2013-09-16,10
2013-09-19,30
2013-09-22,10
2013-09-25,18
2013-09-28,7
2013-10-01,10
2013-10-04,30
2013-10-07,17
2013-10-10,42
2013-10-13,48
2013-10-16,56
2013-10-19,50
2013-10-22,36
2013-10-25,35
2013-10-28,15
2013-10-31,36
2013-11-03,23
2013-11-06,25
2013-11-09,25
2013-11-12,38
2013-11-15,12
2013-11-18,13
2013-11-21,30
2013-11-24,66
2013-11-27,55
2013-11-30,21
2013-12-03,25
2013-12-06,19
2013-12-09,63
