Timestamp,1. What gender is your English teacher?,2. What is your gender?,3. Is your English teacher's gender the same as your gender?,"4. On a 7-period day, is your English class before or after lunch?",5. What high school year are you in?,6. How old are you?,"7. What is your exact grade in the class? (to the hundredths place, for example 86.41%)","8. What is your cumulative GPA so far? (to the hundredths place, for example 3.37. If you are a freshman, type in 0.00)",9. How many absences do you have in English class for the semester?,10. Does your teacher use standards based grading? (Standards based grading is when 85% and above is considered an A and your teacher grades you from 1-4 on assignments),11. How often do you have homework?,12. Do you keep up with your homework and turn assignments in on time?,"13. How often do you work with groups/friends? (this is not asking about group projects, it's about who you generally do your work with)",14. What is the phone policy like in your class?,15. How often do you have group projects?,16. How many books have you read this semester in English class?,17. How many essays have you written for English so far?,18. Do you sit in a seating chart?,19. What do you sit in? (Desks that are pushed together to form partners count as desks),20. What is the usual level of noise in your classroom?,21. How many students are in your class?,22. Do you study for tests?,23. Does your teacher perform binder checks?,24. What is your teacher's late work policy?,25. Has there been a student teacher or teacher's assistant in your classroom this semester?,26. Do students need to raise their hands to talk?,27. How often do you usually talk in English class?,28. Are hats or hoods allowed to be worn in the classroom?,"29. Is there a class pet in your classroom? (This includes animals you cannot touch, like snakes.)",30. Does your teacher keep the lights on full brightness or do they dim them in the classroom?,31. Do you like your teacher?,32. Do you enjoy your English class?,33. How strict is your English teacher with grading?,34. How much homework does your English teacher give you?,35. Does your teacher allow you to eat food whenever you want to? (besides during tests),36. Does your teacher provide students with snacks?,37. How is the temperature of the room most of the time?,38. How often do you read books outside of class? (comics included),39. Do one of your parents/guardians have a degree?,"40. Are you the youngest, middle, or oldest sibling in your family?",41. What is your current level of happiness in general?,42. How many hours of sleep do you usually get each night?,43. What statement best describes your family's income?
1/6/2023 8:05:27,1,0,0,1,3,16,92.39%,3.77,8,1,Once every few weeks,Most of the time,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Once a month,1,3,0,0,Lots of people talk and it's very loud,26,I always study,0,They accept late work but take off points for assignments being late,0,0,Multiple times every period,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Never,Ideal temperature,I read books every now and then,Both parents/guardians have a degree,I'm the youngest,I am happy most of the time,6,"Our income covers our needs and more, I don't need to worry about money."
1/6/2023 8:07:31,1,0,0,1,3,16,92.39%,3.93,6,1,Daily,Always,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Once a month,1,4,0,1,Lots of people talk and it's very loud,25,I always study,0,They accept late work and do not take any points off for assignments being late,0,1,A couple times every period,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A lot, I can barely keep up.",1,Never,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I am happy most of the time,7,"Our income covers our needs and more, I don't need to worry about money."
1/6/2023 10:27:54,1,1,1,1,3,17,94.56%,4,9,1,Every few days,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,1,3,0,1,A few people talk together,22,Most of the time I will study,0,They accept late work but take off points for assignments being late,0,0,Once in a while,1,0,1,1,Always,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Never,Ideal temperature,I read books every now and then,One parent/guardian has a degree,I'm the oldest,I have my ups and downs,6,"Our income covers our needs and more, I don't need to worry about money."
1/6/2023 10:31:25,1,0,0,1,3,16,90.62%,4,7,1,Daily,Sometimes,Most of the time I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every week,1,3,0,1,A few people talk together,22,Sometimes I'll study,0,They accept late work but take off points for assignments being late,0,0,Once in a while,1,0,1,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A lot, I can barely keep up.",0,Rarely,A little chilly,I rarely read books,Both parents/guardians have a degree,I'm the oldest,I am happy most of the time,7,"Our income covers our needs and a little more, I feel good about it."
1/6/2023 10:44:37,1,0,0,1,3,17,84.78%,3.769,4,1,Daily,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Every week,1,3,0,0,Lots of people talk and it's very loud,25,Most of the time I will study,0,They accept late work but take off points for assignments being late,0,0,Multiple times every period,1,0,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Rarely,Ideal temperature,I never read books,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,7,"Our income covers our needs and more, I don't need to worry about money."
1/6/2023 11:50:59,1,0,0,1,3,16,94.79%,4,4,1,Once a week,Most of the time,I rarely work with people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,1,4,0,1,Lots of people talk and it's very loud,27,I always study,0,They accept late work and do not take any points off for assignments being late,0,1,I rarely talk in class,1,0,1,1,Rarely,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",1,Never,A little chilly,I read books every now and then,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,7,"Our income covers our needs and more, I don't need to worry about money."
1/6/2023 12:04:08,1,1,1,1,3,16,94.13%,4,8,1,Every few days,Always,Most of the time I work with other people,"Very free, I can look at my phone whenever I want to.",A couple times in a semester,1,7,0,1,Lots of people talk and it's very loud,27,I always study,0,They accept late work and do not take any points off for assignments being late,0,0,Multiple times every period,1,0,1,1,Always,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Rarely,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the youngest,I feel down a decent amount of time,6,"Our income covers our needs and more, I don't need to worry about money."
1/6/2023 12:04:37,1,1,1,1,3,16,86.41%,4,8,1,Every few days,Always,Most of the time I work with other people,"Very free, I can look at my phone whenever I want to.",Once a month,2,7,0,1,Lots of people talk and it's very loud,27,I rarely study,0,They accept late work and do not take any points off for assignments being late,0,0,Multiple times every period,1,0,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Never,Ideal temperature,I never read books,Both parents/guardians have a degree,I'm in the middle,I am very happy,9,"Our income covers our needs and more, I don't need to worry about money."
1/6/2023 12:19:08,1,0,0,1,3,16,72.62%,3.25,10,1,Once a week,Sometimes,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Every other week,1,2,0,1,A few people talk together,24,Sometimes I'll study,0,They accept late work but take off points for assignments being late,0,0,Multiple times every period,1,0,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Rarely,A little chilly,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I am happy most of the time,6,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/6/2023 15:46:35,1,0,0,1,3,17,75.92%,3.74,17,1,Once every few weeks,Most of the time,I always work with other people,"Very free, I can look at my phone whenever I want to.",A couple times in a semester,1,4,0,0,A few people talk together,26,I rarely study,0,They accept late work and do not take any points off for assignments being late,0,0,Multiple times every period,1,0,1,1,Always,"It takes some effort to get a good grade, they grade fairly.","None, they do not assign homework.",1,Rarely,Ideal temperature,I read books every now and then,Both parents/guardians have a degree,I'm the oldest,I feel down a decent amount of time,8,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
