Timestamp,Science Teacher Male?,Student gender male?,Teacher same gender as student?,Morning class?,High School Year,6. How old are you?,Grade in Class,GPA,Abscences,Standards based grading used?,11. How often do you have homework?,12. Do you keep up with your homework and turn assignments in on time?,"13. How often do you work with groups/friends? (this is not asking about group projects, it's about who you generally do your work with)",14. What is the phone policy like in your class?,15. How often do you have group projects?,Essays written,Seating chart used?,Does student sit in desk?,19. What is the usual level of noise in your classroom?,20. Do you study for tests?,21. How many students are in your class?,Binder Checks?,23. What is your teacher's late work policy?,Student Teacher Present?,25. Do students need to raise their hands to talk?,26. How often do you usually talk in your science class?,Hats/Hoods allowed to be worn?,Class pet present?,Dimmed brightness?,Does student like teacher?,31. Do you enjoy your science class?,32. How strict is your science teacher with grading?,33. How much homework does your science teacher give you?,34. Does your teacher allow you to eat food whenever you want to? (besides during tests),35. Does your teacher provide students with snacks?,36. How is the temperature of the room most of the time?,37. How often do you read books outside of class? (comics included),38. Do one of your parents/guardians have a degree?,"39. Are you the youngest, middle, or oldest sibling in your family?",40. What is your current level of happiness in general?,Student hours of sleep,42. What statement best describes your family's income?
1/9/2023 10:24,1,1,1,0,1,14,33%,NULL,5,1,Every few days,Sometimes,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every other week,1,1,1,A few people talk together,Sometimes I'll study,17,0,They accept late work and do not take any points off for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,1,0,1,Always,They are very strict with what they want and it's hard to get a good grade.,"A little, they don't give us a lot to do.",No,Never,Ideal temperature,I read every chance I can get,Neither parent/guardian has a degree,I'm the oldest,I am always feeling down,4,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/9/2023 10:30,1,1,1,0,3,14,79.89%,NULL,9,1,Every few days,Most of the time,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,3,1,1,One or two people talk ocassionally,I always study,27,0,They accept late work and do not take any points off for assignments being late,0,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Once in a while,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",Yes,Rarely,Ideal temperature,I read books every now and then,One parent/guardian has a degree,I'm the youngest,I have my ups and downs,6,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/9/2023 10:42,1,0,0,0,1,14,83.48%,NULL,4,1,Every few days,Most of the time,Most of the time I work with other people,"Strict, I am told to put my phone away whenever it's out.",Once a month,2,1,1,A few people talk together,Most of the time I will study,23,0,They accept late work but take off points for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,1,0,0,Sometimes,They are very strict with what they want and it's hard to get a good grade.,"A lot, I can barely keep up.",Yes,Never,A little hot,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,4,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 13:17,1,0,0,1,1,15,96.97%,NULL,5,1,Every few days,Always,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Every other week,3,1,1,A few people talk together,I always study,28,0,They accept late work and do not take any points off for assignments being late,0,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Multiple times every period,1,1,0,1,Most of the time,They are very strict with what they want and it's hard to get a good grade.,"A little, they don't give us a lot to do.",Yes,Never,Ideal temperature,I read every chance I can get,Both parents/guardians have a degree,I'm the youngest,I am happy most of the time,6,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/9/2023 14:51,0,0,1,0,2,16,84.12%,3.54,11,1,Every few days,Always,Most of the time I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every week,4,1,0,A few people talk together,I always study,19,0,They accept late work and do not take any points off for assignments being late,1,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",A couple times every period,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",Yes,Rarely,Ideal temperature,I rarely read books,One parent/guardian has a degree,I'm the youngest,I have my ups and downs,8,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 14:53,0,1,0,0,2,15,80.70%,3.11,2,1,Every few days,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Every other week,1,1,0,A few people talk together,Most of the time I will study,20,0,They accept late work and do not take any points off for assignments being late,1,"Yes, I need to raise my hand and be called on in order to speak.",Multiple times every period,1,0,1,1,Always,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",No,Sometimes,Ideal temperature,I rarely read books,Both parents/guardians have a degree,I'm in the middle,I am very happy,8,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 14:53,0,0,1,0,2,15,93.68%,3.71,2,1,Daily,Most of the time,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Once a month,1,1,0,Lots of people talk and it's very loud,I always study,21,0,They accept late work but take off points for assignments being late,1,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Once in a while,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",Yes,Most of the time,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm in the middle,I have my ups and downs,7,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 14:54,0,0,1,0,2,16,89.10%,3.85,0,1,Once every few weeks,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every other week,1,1,0,A few people talk together,Most of the time I will study,22,0,They accept late work and do not take any points off for assignments being late,1,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Once in a while,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",Yes,Sometimes,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,8,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/9/2023 14:54,0,0,1,0,2,15,77%,2.73,11,1,Daily,Most of the time,Most of the time I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every other week,1,1,0,A few people talk together,Most of the time I will study,22,0,They accept late work and do not take any points off for assignments being late,1,"Yes, I need to raise my hand and be called on in order to speak.",Once in a while,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",Yes,Sometimes,Ideal temperature,I rarely read books,Both parents/guardians have a degree,I'm the youngest,I have my ups and downs,7,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 14:55,0,0,1,0,2,15,63.31%,2.64,5,1,Never,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",A couple times in a semester,1,1,0,Lots of people talk and it's very loud,Most of the time I will study,22,0,They accept late work and do not take any points off for assignments being late,1,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",I rarely talk in class,1,0,1,1,Most of the time,"They are not very strict, but I need to work a little hard here and there.","None, they do not assign homework.",Yes,Never,A little chilly,I rarely read books,One parent/guardian has a degree,I'm the oldest,I have my ups and downs,6,"Our income covers our needs and more, I don't need to worry about money."
