Category: All categories

Week,covid symptoms: (United States)
2022-01-02,100
2022-01-09,78
2022-01-16,53
2022-01-23,38
2022-01-30,25
2022-02-06,18
2022-02-13,13
2022-02-20,11
2022-02-27,9
2022-03-06,8
2022-03-13,9
2022-03-20,9
2022-03-27,9
2022-04-03,10
2022-04-10,12
2022-04-17,13
2022-04-24,14
2022-05-01,16
2022-05-08,20
2022-05-15,22
2022-05-22,22
2022-05-29,23
2022-06-05,21
2022-06-12,21
2022-06-19,23
2022-06-26,24
2022-07-03,26
2022-07-10,31
2022-07-17,32
2022-07-24,28
2022-07-31,24
2022-08-07,21
2022-08-14,19
2022-08-21,19
2022-08-28,17
2022-09-04,16
2022-09-11,14
2022-09-18,13
2022-09-25,11
2022-10-02,10
2022-10-09,10
2022-10-16,10
2022-10-23,11
2022-10-30,12
2022-11-06,9
2022-11-13,10
2022-11-20,12
2022-11-27,14
2022-12-04,12
2022-12-11,15
2022-12-18,15
2022-12-25,17
